Lotnr low;Lotnr high;location name
1000;1799;Jus. B
1800;1999;Jus. C
2000;2199;Hal A
2200;2399;Hal B
2400;2599;Hal C
2600;2799;Hal D
2800;2999;Hal E
3000;3999;Veld 300
4000;4999;Veld 400
7000;7024;ABI 1/ ABI 2
7025;7049;Veld 700
7050;7099;ABI 4
7100;7699;Veld 700
8000;8024;ABI 1/ ABI 2
8025;8049;Veld 800
8050;8099;ABI 4
8100;8699;Veld 800
9000;9024;ABI 1/ ABI 2
9025;9049;Veld 900
9050;9099;ABI 4
9100;9699;Veld 900
